FileName,CCDC
1,2206693
2,2260569
4,2175677
5,2291752
6,2302699
7,2206431
8,2206432
10,2255689
11,2314207
13,2299564
14,2288033
15,MIVROC
16,2280241
17,MOCBIT
19,NIYNOC
20,2160703
21,QELMEZ03
22,2283838
23,RODKII
24,2040442
25,VIWNAU
26,2260988
27,YIXLOK
28,2260990
29,ABIYUG
30,224887
31,ABIZUH
32,ABOBEZ
33,153421
34,ABUQOH
35,1995787
36,ABUVEC
37,ABUVEC01
38,1100295
39,ABZACO11
40,1504492
41,ACAPCO
42,ACAVAD
43,226302
44,ACIFUO
45,2164971
46,ACIMOQ
47,873568
48,ACITAJ
49,873570
50,ACITIR
52,665487
53,ACUBEF
54,ACUBEF
56,ADEKOL
57,942920
58,ADHCOS10
59,1101321
61,1546325
62,ADUSAU
64,AETXCO
66,AFIQIT
68,1577838
69,AGICOK
72,AGOYIF
73,189639
74,AGUBEJ
75,1034266
76,AGUNOH
77,1958838
78,AGUTAZ
79,174133
80,AHADEV
81,1958835
83,201255
85,1045432
86,AJELIK
87,756547
88,AJIFOQ
89,758740
90,AJIWEV
91,2019088
92,AKANUX
93,1977155
94,ALEKAD
95,773637
96,ALUVOV
97,226302
98,AMBOCO10
99,1102531
101,1465359
102,AMGXCO
103,1479237
104,AMIJEL
105,205734
106,AMNPCO
107,1453152
108,AMOXCO
109,701485
110,ANUMEE
111,1982392
112,ANUTOV
113,2045934
114,ANUZAN
116,APICCO
117,783306
118,AQATET
119,1440910
120,AQAWUK
121,212109
122,AQAXEV
123,204458
124,AQMLCO
125,969834
127,1407348
128,AQUWUF
129,2059714
130,ARAGAE
134,ARAHEJ
136,ARINIY
139,1978998
140,AROMOK
143,1991940
145,ATOKID
148,ATUPOU
151,757540
154,AWARIB
157,211026
161,929244
163,842925
169,AYODAU
170,747424
171,AYOKAB
172,AYOKEF
174,AYUKEM
178,AZIPIJ
179,850342
181,729582
183,159101
184,BACNOJ
186,BACVIL
188,BAFTEK
189,BAGDUI
190,BAGGAR
191,1105173
192,BAHPUW
193,1105431
194,BAKPOW
195,2065376
196,BAKQIR
197,2065380
198,BAKRAK
199,2065383
200,BAMDOM
204,BANWES
205,BANWIW
206,133096
208,1510035
214,BDMGCO10
216,BEBDUI
217,794826
219,1479093
225,1552770
226,BELGEF
228,BEMNIQ
232,BENCIH
233,909736
234,BENFOR
235,1108851
236,BEQDEH
237,206514
238,BEQQAP
239,225508
240,BESXAZ
241,1109323
242,BEXNIB10
243,844814
245,163542
246,BIGCUQ
247,BIHCEA
248,235687
249,BIKCUT
250,BIKMUD
252,BILBOQ
254,BIMMUG
256,BINMES
257,913725
261,1111566
263,BIVPIF
264,1111930
265,BIXBUG
266,BIXHIZ
267,2180261
268,BIYGUP
270,BIYHOG
271,1890535
274,968431
276,BOHDEH
278,BOKGUG
279,1889163
280,BOKKEU
281,BOKNUK
284,1881673
287,BOQNAW
289,BOTQIL
291,BOYKOS
293,BOZMAG
296,1052807
297,1114855
298,BOZXUM
299,1115030
302,BPYCXC
303,1115174
304,BTZPCO
305,1938156
306,BUBQIA
307,732481
309,747872
310,BUCZII
311,BUKFAR
312,1558281
313,BUVVIA
314,2035294
315,BUWNUE
316,1424853
317,BUZPUJ
318,789307
319,CACZOV
321,916571
322,CAKKUW
323,169593
324,CANGAB
325,258483
326,CANRIW
328,CAPYEB
329,2065592
330,CARQAR
331,282363
332,CASMAM
333,282696
334,CASYIF
335,847603
336,CAVYIJ
337,847607
338,CAWLIX
339,266379
341,1518781
342,CAXJAP
343,1517402
344,CAYCIO
345,2117040
346,CAYSOM
347,819583
348,CAZKIZ
350,CBENCO01
351,1121736
352,CEBDIW
355,883182
356,CEDZAO
357,907342
358,CEGXAO
359,1523696
360,CEJVOD
361,1123181
362,CEPHIR
363,1571741
364,CERGUE
365,1477147
366,CETJIU
367,2211692
369,611630
370,CEXHAR
371,1580010
372,CEZYIS
373,267680
374,CICWIV
375,649068
376,CICYAO
377,619087
378,CIFBEA
379,1852943
380,CIGGAA
381,654308
382,CIHHIN
383,1537389
384,CIKGOT
386,CILZEF
387,1585632
388,CILZOP
389,CIMTID
391,2040561
392,CIZGOK
393,1972740
394,COAQAC
397,1128213
