FileName,L1,L2,L3,L4,L5,L6,D1,D2,D3,D4,D5,D6,DA1,DA2,DA3,DA4,DA5,DA6,zfs,E/D
1,c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,-76.179504,0.037168
2,Cn1cccc1-c1cc(-c2nccs2)nc(-c2nccs2)c1,Cn1cccc1-c1cc(-c2nccs2)nc(-c2nccs2)c1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,-92.739761,0.258231
4,N,N,N,N,N,N,1,1,1,1,1,1,N,N,N,N,N,N,148.843105,0.013281
5,c1cnc2c(c1)ccc1cccnc12,O,O,O,OS(O)(O)O,X,2,1,1,1,1,0,N,N,O,O,O,O,-0.220936,0.038254
6,COc1cc(CO)ccc1O,O,COc1cc(CO)ccc1O,O,X,X,2,1,2,1,0,0,O,O,O,O,O,O,16.104763,0.222
7,CN(CCN(C)Cc1ccccn1)Cc1ccccn1,CCN,CCN,X,X,X,4,1,1,0,0,0,N,N,N,N,N,N,111.041312,0.190264
8,ONO,CN(CCN(C)Cc1ccccn1)Cc1ccccn1,ONO,X,X,X,1,4,1,0,0,0,O,N,N,N,N,O,-17.618807,0.149852
10,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,N,N,N,N,N,N,148.739925,0.024036
11,OCc1ccccc1O,CO,OCc1ccccc1O,CO,X,X,2,1,2,1,0,0,O,O,O,O,O,O,-98.31806,0.213007
13,O,O,O,c1cc(-c2ccc(-c3ccncc3)cc2)ccn1,O,c1cc(-c2ccc(-c3ccncc3)cc2)ccn1,1,1,1,1,1,1,O,O,O,N,O,N,12.10838409,0.18646217
14,OC(O)COc1ccccc1CNCCNCc1ccccc1OCC(O)O,X,X,X,X,X,6,0,0,0,0,0,O,O,O,O,N,N,-62.82234,0.064825
15,OC(O)COc1ccccc1CNCCCNCc1ccccc1OCC(O)O,X,X,X,X,X,6,0,0,0,0,0,O,O,O,O,N,N,-36.658605,0.086103
16,Cc1c(C(O)O)nnn1-c1ccc(C(O)O)cc1,O,Cc1c(C(O)O)nnn1-c1ccc(C(O)O)cc1,O,X,X,2,1,2,1,0,0,O,O,N,O,O,N,-72.998643,0.328443
17,OC(O)c1cccc2cnccc12,O,O,O,OC(O)c1cccc2cnccc12,O,1,1,1,1,1,1,O,O,O,N,O,N,72.158538,0.239779
19,OC(O)c1cc(-c2ccncc2)cc(C(O)O)c1,O,O,OC(O)c1cc(-c2ccncc2)cc(C(O)O)c1,O,O,1,1,1,1,1,1,O,O,N,O,O,N,55.50879006,0.1617735
20,CO,CC1(C)N=C(CC(O)C(F)(F)F)C(C)(C)N1O,CO,CC1(C)N=C(CC(O)C(F)(F)F)C(C)(C)N1O,X,X,1,2,1,2,0,0,O,O,N,O,O,N,-0.101996,0.003779
