File Name,L1,L2,L3,L4,L5,L6,D1,D2,D3,D4,D5,D6,DA1,DA2,DA3,DA4,DA5,DA6,opt_zfs,opt_E/D
1,c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,-87.353011,0.331365
2,Cn1cccc1-c1cc(-c2nccs2)nc(-c2nccs2)c1,Cn1cccc1-c1cc(-c2nccs2)nc(-c2nccs2)c1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,99.024957,0.317461
4,N,N,N,N,N,N,1,1,1,1,1,1,N,N,N,N,N,N,165.636117,0.005973
5,c1cnc2c(c1)ccc1cccnc12,O,O,O,OS(O)(O)O,X,2,1,1,1,1,0,N,N,O,O,O,O,-0.672302,0.116791
6,COc1cc(CO)ccc1O,O,COc1cc(CO)ccc1O,O,X,X,2,1,2,1,0,0,O,O,O,O,O,O,-42.57256,0.048872
7,CN(CCN(C)Cc1ccccn1)Cc1ccccn1,CCN,CCN,X,X,X,4,1,1,0,0,0,N,N,N,N,N,N,95.116992,0.295533
8,ONO,CN(CCN(C)Cc1ccccn1)Cc1ccccn1,ONO,X,X,X,1,4,1,0,0,0,O,N,N,N,N,O,-43.191126,0.317893
10,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,N,N,N,N,N,N,96.218959,0.000647
11,OCc1ccccc1O,CO,OCc1ccccc1O,CO,X,X,2,1,2,1,0,0,O,O,O,O,O,O,-74.631692,0.328336
13,O,O,O,c1cc(-c2ccc(-c3ccncc3)cc2)ccn1,O,c1cc(-c2ccc(-c3ccncc3)cc2)ccn1,1,1,1,1,1,1,O,O,O,N,O,N,136.719258,0.165697
14,OC(O)COc1ccccc1CNCCNCc1ccccc1OCC(O)O,X,X,X,X,X,6,0,0,0,0,0,O,O,O,O,N,N,-60.952834,0.051352
15,OC(O)COc1ccccc1CNCCCNCc1ccccc1OCC(O)O,X,X,X,X,X,6,0,0,0,0,0,O,O,O,O,N,N,-45.630601,0.075962
16,Cc1c(C(O)O)nnn1-c1ccc(C(O)O)cc1,O,Cc1c(C(O)O)nnn1-c1ccc(C(O)O)cc1,O,X,X,2,1,2,1,0,0,O,O,N,O,O,N,-48.704654,0.292317
20,CO,CC1(C)N=C(CC(O)C(F)(F)F)C(C)(C)N1O,CO,CC1(C)N=C(CC(O)C(F)(F)F)C(C)(C)N1O,X,X,1,2,1,2,0,0,O,O,N,O,O,N,0.112901,0.164702
21,Cl,Cl,c1ccncc1,c1ccncc1,c1ccncc1,c1ccncc1,1,1,1,1,1,1,Cl,Cl,N,N,N,N,151.937332,0.006922
22,NC(Cc1ccccc1)C(O)O,NC(Cc1ccccc1)C(O)O,O,O,X,X,2,2,1,1,0,0,O,O,O,O,N,N,-73.526239,0.261112
23,Cl,Cl,Cc1cccc(CNO)n1,Cc1cccc(CNO)n1,X,X,1,1,2,2,0,0,Cl,Cl,N,N,N,N,-40.571511,0.234234
24,Cl,Cl,Cc1[nH]ncc1Br,Cc1[nH]ncc1Br,Cc1[nH]ncc1Br,Cc1[nH]ncc1Br,1,1,1,1,1,1,Cl,N,N,Cl,N,N,96.331997,0.046765
25,OC(CC(O)C(F)(F)F)c1ccccc1,OC(CC(O)C(F)(F)F)c1ccccc1,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,O,O,O,O,N,N,62.683033,0.221501
29,OCc1cccc(CO)n1,OCc1cccc(CO)n1,X,X,X,X,3,3,0,0,0,0,O,O,O,O,N,N,-53.036401,0.266087
30,OCc1cccc(CO)n1,OCc1cccc(CO)n1,X,X,X,X,3,3,0,0,0,0,O,O,O,O,N,N,-53.056101,0.266019
31,OCc1cccc(CO)n1,OCc1cccc(CO)n1,NCS,NCS,X,X,2,2,1,1,0,0,O,O,N,N,N,N,-109.886752,0.203504
32,OCc1cccc(CO)n1,OCc1cccc(CO)n1,X,X,X,X,3,3,0,0,0,0,O,O,O,O,N,N,-53.070443,0.266016
34,NCS,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,NCS,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,OC1=C2C=CC=C3C=CC=C(C32)C(O)N1C=1C=CC=NC1,1,1,1,1,1,1,N,N,N,N,N,N,117.344707,0.118982
35,NCS,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,NCS,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,OC1=C2C=CC=C3C=CC=C(C32)C(O)N1C=1C=CC=NC1,1,1,1,1,1,1,N,N,N,N,N,N,115.101945,0.095041
36,NCS,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,NCS,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,OC1=C2C=CC=C3C=CC=C(C32)C(O)N1C=1C=CC=NC1,1,1,1,1,1,1,N,N,N,N,N,N,157.761733,0.020297
37,NCS,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,NCS,C1=NC=C(N2C(O)C=3C=CC=C4C=CC=C(C43)C2O)C=C1,OC1=C2C=CC=C3C=CC=C(C32)C(O)N1C=1C=CC=NC1,1,1,1,1,1,1,N,N,N,N,N,N,151.088494,0.023414
38,Nc1ccc(C(O)O)cc1,O,O,Nc1ccc(C(O)O)cc1,O,O,1,1,1,1,1,1,O,O,O,O,O,O,58.513002,0.226905
39,Nc1ccc(C(O)O)cc1,O,O,Nc1ccc(C(O)O)cc1,O,O,1,1,1,1,1,1,O,O,O,O,O,O,70.225112,0.123312
40,c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,X,X,X,2,2,2,0,0,0,N,N,N,N,N,N,89.751809,0.000228
41,c1ccncc1,CC(O)CC(O)C,c1ccncc1,CC(O)CC(O)C,X,X,1,2,1,2,0,0,N,N,O,O,O,O,110.393733,0.18084
42,OCC(n1cccn1)(n1cccn1)n1cccn1,OCC(n1cccn1)(n1cccn1)n1cccn1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,-114.201433,0.134793
43,NCS,NNC(c1ccccc1)c1ccncc1,NNC(c1ccccc1)c1ccncc1,NCS,NNC(c1ccccc1)c1ccncc1,NNC(c1ccccc1)c1ccncc1,1,1,1,1,1,1,N,N,N,N,N,N,-28.147281,0.007124
44,Cc1nn(-c2ccccc2)c(O)c1C(Nc1ccccc1)c1ccccc1,CCO,Cc1nn(-c2ccccc2)c(O)c1C(Nc1ccccc1)c1ccccc1,CCO,X,X,2,1,2,1,0,0,O,O,N,O,O,N,103.288433,0.315515
45,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1,c1ccc(NCc2ccncc2)cc1,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1,c1ccc(NCc2ccncc2)cc1,X,X,2,1,2,1,0,0,O,O,N,O,O,N,10.148786,0.154607
46,NCS,NCS,Cc1cc(C)n(CN(Cn2nc(C)cc2C)Cn2nc(C)cc2C)n1,X,X,X,1,1,4,0,0,0,N,N,N,N,N,N,85.86208,0.217559
48,OC(O)O,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,N,N,N,N,O,O,26.188524,0.03796
49,OC(O)O,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,N,N,N,N,O,O,1.480059,0.015557
52,NC(N)O,NC(N)O,O,NC(N)O,NC(N)O,O,1,1,1,1,1,1,O,O,O,O,O,O,99.585796,0.04616
53,NCCN,NCCN,NCCN,X,X,X,2,2,2,0,0,0,N,N,N,N,N,N,119.460055,0.005299
54,CCOC(O)c1nc[nH]c1C,O,O,O,X,X,2,2,1,1,0,0,O,O,N,O,O,N,51.508366,0.135752
56,CC=1N=CC(CO)=C(CNC=2C=CC(S(O)(O)O)=CC2)C1O,CC=1N=CC(CO)=C(CNC=2C=CC(S(O)(O)O)=CC2)C1O,O,O,X,X,2,2,1,1,0,0,N,N,O,O,O,O,-74.242686,0.231167
57,OC(CC(O)C(F)(F)F)C(F)(F)F,OC(CC(O)C(F)(F)F)C(F)(F)F,NCCCN,X,X,X,2,2,2,0,0,0,O,O,O,O,N,N,128.331925,0.104875
58,Nc1ncnc2nc[nH]c12,O,O,Nc1ncnc2nc[nH]c12,O,O,1,1,1,1,1,1,N,O,O,N,O,O,73.184771,0.280936
61,Br,Br,OC(O)c1ccc(NCc2ccccn2)cc1,OC(O)c1ccc(NCc2ccccn2)cc1,X,X,1,1,2,2,0,0,Br,Br,N,N,N,N,36.950051,0.315992
62,Oc1ccc(-n2nnnc2S)cc1,O,O,Oc1ccc(-n2nnnc2S)cc1,O,O,1,1,1,1,1,1,O,O,N,O,O,N,33.163981,0.006623
66,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CC(O)CC(C)O,X,X,X,2,2,2,0,0,0,N,N,N,N,O,O,106.570636,0.141882
72,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,N,N,N,N,N,N,96.021945,2.60E-05
73,ON(O)O,O,O,ON(O)O,O,O,1,1,1,1,1,1,O,O,O,O,O,O,-77.477698,0.306285
75,CO[PH](O)(NS(O)(O)c1ccccc1)OC,CO[PH](O)(NS(O)(O)c1ccccc1)OC,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,O,O,O,O,N,N,57.232189,0.102269
76,CO[PH](O)(NS(O)(O)c1ccc(C)cc1)OC,CO[PH](O)(NS(O)(O)c1ccc(C)cc1)OC,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,O,O,O,O,N,N,55.917201,0.197896
77,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,84.209977,0.29809
78,Cl,c1ccc(-c2ncco2)nc1,Cl,c1ccc(-c2ncco2)nc1,X,X,1,2,1,2,0,0,Cl,N,N,Cl,N,N,-55.262687,0.313207
79,OCc1ccccn1,OCc1ccccn1,OC1=NS(O)(O)c2ccccc21,OC1=NS(O)(O)c2ccccc21,X,X,2,2,1,1,0,0,O,O,N,N,O,N,85.228227,0.188427
